Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Operations Research Analysts,107721.1254,80,5504,11404,7076,Computer and Mathematical,Job can be conducted virtually,83300,Office,0.382900433,179,14057,11367,5651,8628,1799,0.113458628,30000,50000,5350,6830,1905,"(124.0, 20124.0]",1,"(36000, 38500]",8,47250,11,11,80000
Occupational Therapists,133780.1408,,,,,Healthcare Practitioners and Technical,Job can be made virtual,84000,Institutional,,,,,,,,,,,,,,,,,8,49750,12,12,80000
Management Analysts,882859.669,45,6105,3916,11998,Business and Financial Operations,Job can be conducted virtually,84800,Office,0.75392736,190,13150,11510,2665,9005,505,0.03698279,36000,50000,5546,7176,1002,"(124.0, 20124.0]",1,"(43500, 46000]",8,52250,13,13,80000
"Medical Scientists, Except Epidemiologists",127167.385,128,6211,15204,28443,"Life, Physical, and Social Science",Job can be made virtual,84900,Lab,0.651659908,546,36728,32160,7494,23106,2393,0.061169193,25000,42000,2325,23341,9063,"(40124.0, 60124.0]",1,"(31000, 33500]",8,54750,14,14,80000
Financial Analysts,322763.8802,56,2303,119,699,Business and Financial Operations,Job can be conducted virtually,85700,Office,0.854523227,4,730,595,135,545,88,0.107579462,41000,43000,509,221,0,"(124.0, 20124.0]",1,"(38500, 41000]",8,57250,15,15,80000
Power Distributors and Dispatchers,13303.75043,,,,,Production,"Cannot work remotely, essential",86400,Industrial,,,,,,,,,,,,,,,,,8,59750,16,16,80000
Statisticians,44351.40547,81,3606,6383,8849,Computer and Mathematical,Job can be conducted virtually,86900,Office,0.580948004,62,9685,7453,3379,5080,693,0.066775872,29600,50000,5577,3174,1246,"(124.0, 20124.0]",1,"(36000, 38500]",8,62250,17,17,80000
Civil Engineers,326493.8573,91,5005,809,1169,Architecture and Engineering,Job can be made virtual,86900,Office,0.591001011,18,1441,1264,354,1011,36,0.024373731,21000,41000,784,591,221,"(124.0, 20124.0]",1,"(33500, 36000]",8,64750,18,18,80000
Industrial Engineers,283083.3751,97,1902,23736,48883,Architecture and Engineering,Job can be made virtual,87100,Industrial,0.673143392,843,61022,51411,15902,39524,4535,0.069176442,26000,42900,23279,26672,8512,"(60124.0, 80124.0]",1,"(33500, 36000]",8,67250,19,19,80000
Mechanical Engineers,310949.611,100,1501,8739,22456,Architecture and Engineering,Job can be made virtual,87400,Industrial,0.719858952,249,24629,18755,9541,13109,1668,0.063429289,24500,44000,8465,11818,3677,"(20124.0, 40124.0]",1,"(33500, 36000]",8,69750,20,20,80000
Physical Therapists,241385.6937,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",87400,Institutional,,,,,,,,,,,,,,,,,8,72250,21,21,80000
Environmental Engineers,54629.25731,95,5301,80231,72593,Architecture and Engineering,Job can be made virtual,87600,Lab,0.47501047,1728,125393,109970,32242,88548,11268,0.082452199,26000,45000,24348,88858,18404,"(140124.0, 160124.0]",1,"(33500, 36000]",8,74750,22,22,80000
Computer Systems Analysts,617612.9171,66,2599,7043,1761,Computer and Mathematical,Job can be conducted virtually,88400,Office,0.200022717,125,7502,7001,1240,5825,416,0.05253852,30400,56000,2446,3896,386,"(124.0, 20124.0]",1,"(38500, 41000]",8,77250,23,23,80000
Biomedical Engineers,20437.03309,89,6199,1589,11797,Architecture and Engineering,Job can be made virtual,88500,Lab,0.881293889,81,10076,7514,4145,5868,893,0.08141125,23000,42000,5652,3835,1422,"(124.0, 20124.0]",1,"(33500, 36000]",8,79750,24,24,80000
"Computer Occupations, All Other",424209.1974,77,6203,173809,156118,Computer and Mathematical,Job can be conducted virtually,88700,Office,0.473189524,4212,276234,251540,50357,199897,21502,0.072218341,29000,50000,36720,148395,32395,"(320124.0, 340124.0]",1,"(36000, 38500]",8,82250,25,25,80000
First-Line Supervisors of Police and Detectives,123242.9687,,,,,Protective Service,"Cannot work remotely, essential",89000,Institutional,,,,,,,,,,,,,,,,,8,84750,26,26,80000
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",26155.73151,96,6004,32041,71439,Architecture and Engineering,Job can be made virtual,89200,Industrial,0.690365288,1186,83483,67448,24387,52243,8947,0.096797577,25000,45000,37389,38119,14839,"(100124.0, 120124.0]",1,"(33500, 36000]",8,87250,27,27,80000
Database Administrators,112720.5226,72,1102,1749,690,Computer and Mathematical,Job can be made virtual,89700,Office,0.282902829,44,2174,1819,620,1528,182,0.077249576,27000,54000,535,893,94,"(124.0, 20124.0]",1,"(38500, 41000]",8,89750,28,28,80000
Personal Financial Advisors,254104.0784,57,5505,10345,17842,Business and Financial Operations,Job can be conducted virtually,91500,Office,0.632986838,219,21190,18681,5563,13583,2271,0.096798943,31200,53000,6774,9570,2499,"(20124.0, 40124.0]",1,"(38500, 41000]",9,22250,1,1,90000
"Psychologists, All Other",55903.66175,143,5500,5079,7841,"Life, Physical, and Social Science",Job can be made virtual,91600,Office,0.606888545,113,9602,7700,3396,5679,1108,0.103454715,27000,50000,3602,4778,1634,"(124.0, 20124.0]",1,"(31000, 33500]",9,24750,2,2,90000
Veterinarians,82723.22792,,,,,Healthcare Practitioners and Technical,Job can be made virtual,91900,Institutional,,,,,,,,,,,,,,,,,9,27250,3,3,90000
"Mining and Geological Engineers, Including Mining Safety Engineers",6455.033299,101,2310,2682,26057,Architecture and Engineering,Job can be made virtual,92200,Industrial,0.906677337,246,24639,21584,5153,16642,1067,0.041507819,32000,42000,20185,3797,1179,"(20124.0, 40124.0]",1,"(33500, 36000]",9,29750,4,4,90000
Materials Engineers,27920.49398,99,1904,12862,40300,Architecture and Engineering,Job can be made virtual,92400,Lab,0.758060269,681,45326,38815,10948,30932,3305,0.067960766,27000,47000,9659,23059,7214,"(40124.0, 60124.0]",1,"(33500, 36000]",9,32250,5,5,90000
"Geoscientists, Except Hydrologists and Geographers",32109.71019,136,4801,31967,22847,"Life, Physical, and Social Science",Job can be made virtual,92400,Lab,0.416809574,375,40157,31086,16659,21816,4267,0.096051684,23000,47100,14444,20313,8051,"(40124.0, 60124.0]",1,"(31000, 33500]",9,34750,6,6,90000
Marine Engineers and Naval Architects,14234.89371,98,5098,27015,35037,Architecture and Engineering,Job can be made virtual,92600,Industrial,0.564639335,427,46138,37850,13133,28966,2727,0.055806815,24000,50000,17923,22039,5751,"(60124.0, 80124.0]",1,"(33500, 36000]",9,37250,7,7,90000
Biochemists and Biophysicists,30302.77913,121,2301,280,524,"Life, Physical, and Social Science",Job can be made virtual,93300,Lab,0.651741294,5,703,733,0,504,0,0,29000,35000,346,206,111,"(124.0, 20124.0]",1,"(33500, 36000]",9,39750,8,8,90000
"Education Administrators, Postsecondary",142338.6157,21,2102,99743,28576,Management,Job can be made virtual,93500,Institutional,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,39000,70000,68622,25667,5144,"(120124.0, 140124.0]",1,"(51000, 53500]",9,42250,9,9,90000
"Transportation, Storage, and Distribution Managers",134334.0822,13,2404,8407,6548,Management,Job can be conducted virtually,93600,Office,0.437846874,79,10047,9017,2694,5986,1019,0.09208386,36000,70000,6439,2471,789,"(124.0, 20124.0]",1,"(58500, 61000]",9,44750,10,10,90000
Atmospheric and Space Scientists,13045.1798,132,4007,2337,7579,"Life, Physical, and Social Science",Job can be made virtual,94100,Lab,0.76432029,95,7444,5843,2834,4714,757,0.092305816,24000,40000,2630,3906,1470,"(124.0, 20124.0]",1,"(31000, 33500]",9,47250,11,11,90000
Nuclear Power Reactor Operators,6868.463806,,,,,Production,"Cannot work remotely, essential",94300,Industrial,,,,,,,,,,,,,,,,,9,49750,12,12,90000
"Education Administrators, Elementary and Secondary School",266247.6267,20,3201,877,271,Management,Job can be made virtual,94800,Institutional,0.236062718,14,930,808,223,808,11,0.011689692,50000,54000,402,528,144,"(124.0, 20124.0]",1,"(53500, 56000]",9,52250,13,13,90000
Administrative Services Managers,294644.4178,8,5001,832,960,Management,Job can be conducted virtually,95900,Office,0.535714286,10,1526,1085,553,827,33,0.021167415,31500,109000,972,500,220,"(124.0, 20124.0]",1,"(61000, 63500]",9,54750,14,14,90000
Electrical Engineers,191674.7604,93,1301,10787,15178,Architecture and Engineering,Job can be made virtual,96500,Industrial,0.584556133,225,20859,16987,7071,10916,1779,0.078584681,25000,40200,8149,10076,3175,"(20124.0, 40124.0]",1,"(33500, 36000]",9,57250,15,15,90000
Medical and Health Services Managers,394470.2827,28,6204,7921,3811,Management,Job can be made virtual,97900,Institutional,0.32483805,156,10027,9639,1183,7724,504,0.047858703,40000,60000,1466,3629,285,"(124.0, 20124.0]",1,"(48500, 51000]",9,59750,16,16,90000
"Engineers, All Other",165943.216,104,4002,2563,16346,Architecture and Engineering,Job can be made virtual,98100,Industrial,0.864456079,118,13217,9601,6648,6625,975,0.068700676,26000,45000,6535,5473,2449,"(124.0, 20124.0]",1,"(33500, 36000]",9,62250,17,17,90000
Information Security Analysts,113263.9776,67,2504,4419,371,Computer and Mathematical,Job can be conducted virtually,98300,Office,0.077453027,71,4186,4175,247,3607,250,0.056357078,27000,52000,1861,2121,406,"(124.0, 20124.0]",1,"(38500, 41000]",9,64750,18,18,90000
Industrial-Organizational Psychologists,1771.494337,142,6005,22357,16404,"Life, Physical, and Social Science",Job can be made virtual,98800,Institutional,0.423208896,331,31433,22457,12818,15740,3718,0.10577224,22000,42000,7368,20721,5862,"(20124.0, 40124.0]",1,"(31000, 33500]",9,67250,19,19,90000
Materials Scientists,8177.389452,134,2309,6820,10305,"Life, Physical, and Social Science",Job can be made virtual,99800,Lab,0.601751825,156,15116,12520,3782,9193,833,0.05222898,25000,38000,10304,3967,1385,"(124.0, 20124.0]",1,"(31000, 33500]",9,69750,20,20,90000
"Administrative Law Judges, Adjudicators, and Hearing Officers",15524.24196,,,,,Legal Occupations,Job can be made virtual,99800,Institutional,,,,,,,,,,,,,,,,,9,72250,21,21,90000
General and Operations Managers,2380133.124,2,2416,679,77,Management,Job can be conducted virtually,100500,Office,0.101851852,7,640,556,170,388,85,0.117241379,55000,90000,350,257,50,"(124.0, 20124.0]",1,"(73500, 76000]",10,22250,1,1,100000
"Physical Scientists, All Other",24144.82138,138,3301,58227,136446,"Life, Physical, and Social Science",Job can be made virtual,100900,Lab,0.70089843,1436,149180,114386,57825,81180,14345,0.08772359,23000,41000,57690,71827,26503,"(180124.0, 200124.0]",1,"(31000, 33500]",10,24750,2,2,100000
Sales Engineers,72066.25805,,,,,Sales and Related,Job can be conducted virtually,101400,Office,,,,,,,,,,,,,,,,,10,27250,3,3,100000
Mathematicians,3192.782059,79,5506,93880,88741,Computer and Mathematical,Job can be conducted virtually,101700,Office,0.485929877,1387,133454,117709,43711,83236,15022,0.101174601,28000,50000,36854,66947,19803,"(180124.0, 200124.0]",1,"(36000, 38500]",10,29750,4,4,100000
Industrial Production Managers,185498.3198,11,2407,33258,8284,Management,"Cannot work remotely, essential",101900,Office,0.199412643,399,32506,30315,5146,23621,2275,0.065409275,45000,75000,23694,5721,980,"(40124.0, 60124.0]",1,"(58500, 61000]",10,32250,5,5,100000
"Electronics Engineers, Except Computer",139968.593,94,1901,70619,143377,Architecture and Engineering,Job can be made virtual,102600,Industrial,0.669998505,2394,179633,147335,49889,116251,14602,0.075176976,27000,45000,40763,97964,27440,"(200124.0, 220124.0]",1,"(33500, 36000]",10,34750,6,6,100000
Actuaries,24839.10472,78,6206,78857,126354,Computer and Mathematical,Job can be conducted virtually,102900,Office,0.615727227,2684,178862,156668,35829,127230,11663,0.061215064,30000,50000,25320,93889,27968,"(200124.0, 220124.0]",1,"(36000, 38500]",10,37250,7,7,100000
"Software Developers, Applications",945844.0704,69,5599,1499,1784,Computer and Mathematical,Job can be conducted virtually,103100,Office,0.543405422,28,2727,2183,907,1530,215,0.073079538,30000,54000,744,1654,573,"(124.0, 20124.0]",1,"(38500, 41000]",10,39750,8,8,100000
Nurse Midwives,6973.923191,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",103400,Institutional,,,,,,,,,,,,,,,,,10,42250,9,9,100000
Economists,20925.94067,139,2304,13029,157833,"Life, Physical, and Social Science",Job can be conducted virtually,104500,Office,0.923745479,1629,149339,123177,37965,86540,7297,0.046585715,23400,38000,108085,36972,11502,"(160124.0, 180124.0]",1,"(31000, 33500]",10,44750,10,10,100000
Chemical Engineers,33591.62598,90,5401,2947,2682,Architecture and Engineering,Job can be made virtual,104800,Lab,0.476461183,46,4158,4148,847,2952,789,0.1594906,23000,60000,919,2313,496,"(124.0, 20124.0]",1,"(33500, 36000]",10,47250,11,11,100000
Astronomers,3080.424278,130,2601,4416,12185,"Life, Physical, and Social Science",Job can be made virtual,105700,Lab,0.733991928,88,11165,8462,4831,5821,1302,0.10443571,25000,40000,4122,5695,2085,"(124.0, 20124.0]",1,"(31000, 33500]",10,49750,12,12,100000
Nurse Practitioners,185007.2305,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",106500,Institutional,,,,,,,,,,,,,,,,,10,52250,13,13,100000
Nuclear Engineers,20170.23765,102,3608,8422,13638,Architecture and Engineering,Job can be made virtual,108300,Lab,0.618223028,99,14643,10732,6541,7588,1088,0.0691628,20000,50000,6587,6894,2237,"(20124.0, 40124.0]",1,"(33500, 36000]",10,54750,14,14,100000
Computer Network Architects,157055.517,74,3801,124,0,Computer and Mathematical,Job can be conducted virtually,108500,Office,0,4,0,111,0,111,0,0,40000,40000,0,0,0,,1,"(38500, 41000]",10,57250,15,15,100000
Physician Assistants,117751.1835,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",108600,Institutional,,,,,,,,,,,,,,,,,10,59750,16,16,100000
Advertising and Promotions Managers,28503.87186,4,2417,1123,135,Management,Job can be conducted virtually,109100,Office,0.107313196,16,758,1069,150,692,40,0.050125313,43000,80000,529,102,0,"(124.0, 20124.0]",1,"(68500, 71000]",10,62250,17,17,100000
"Software Developers, Systems Software",424521.3043,70,6403,1756,1323,Computer and Mathematical,Job can be conducted virtually,109500,Office,0.429684963,22,2787,2103,839,1274,138,0.047179487,30000,42000,801,1591,302,"(124.0, 20124.0]",1,"(38500, 41000]",10,64750,18,18,100000
Human Resources Managers,173525.3381,15,2409,3526,795,Management,Job can be conducted virtually,109800,Office,0.183985189,30,3608,2999,811,2004,23,0.006334343,25000,74000,2439,947,263,"(124.0, 20124.0]",1,"(56000, 58500]",10,67250,19,19,100000
Training and Development Managers,47341.66109,16,2402,6062,2863,Management,Job can be conducted virtually,111300,Office,0.320784314,55,6170,5455,1983,3413,589,0.087143069,40000,76000,3603,1595,524,"(124.0, 20124.0]",1,"(56000, 58500]",11,22250,1,1,110000
Optometrists,46010.33879,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",112200,Institutional,,,,,,,,,,,,,,,,,11,24750,2,2,110000
